date,level
1975,2829.11
1976,3220.16
1977,3433.68
1978,3670.34
1979,3960.54
1980,3934.51
1981,3934.62
1982,4242.95
1983,4368.13
1984,4855.58
1985,4884.11
1986,5606.98
1987,5799.83
1988,6142.42
1989,6488.421944
1990,6723.53075
1991,6518.460488
1992,6473.668888
1993,6070.994747
1994,6364.673609
1995,6546.75917
1996,6723.141362
1997,6761.135437
1998,6595.790105
1999,6741.037416
2000,6948.595
2001,6303.79
2002,6389.058
2003,6380.439
2004,6912.095
2005,7416.574
2006,7528.105
2007,7496.82
2008,6713.436
2009,6420.448
2010,6916.895
2011,7174.397
2012,7867.143
2013,8003.474
