date,level
1975,449.0899
1976,560.1399
1977,633.68
1978,689.34
1979,746.93
1980,820.41
1981,930.2199
1982,927.95
1983,733.13
1984,871.58
1985,829.0899
1986,923.97
1987,969.8402
1988,888.5401
1989,943.0894613
1990,1076.09983
1991,962.9101385
1992,1120.045141
1993,1075.302913
1994,1034.90635
1995,1005.411824
1996,987.5944141
1997,1028.47702
1998,956.7454319
1999,1005.374833
2000,985.796
2001,814.993
2002,836.459
2003,777.186
2004,856.63
2005,937.348
2006,991.965
2007,1054.188
2008,1085.897
2009,972.082
2010,1142.737
2011,1295.582
2012,1523.04
2013,1571.676
